,Marital_Status,Income,Child,Customer_days,Total_Amount,Total_Purchases,Total_offer,cluster_value
0,1,58138.0,0,663,1617,32,1,1
1,1,46344.0,2,113,27,11,0,0
2,0,71613.0,0,312,776,25,0,1
3,0,26646.0,1,139,53,14,0,0
4,0,58293.0,1,161,422,24,0,1
5,0,62513.0,1,293,716,28,0,1
6,1,55635.0,1,593,590,27,0,1
7,0,33454.0,1,417,169,18,0,0
8,0,30351.0,1,388,46,15,1,0
9,0,5648.0,2,108,49,22,1,0
10,0,51381.5,1,226,19,11,0,0
11,0,7500.0,0,593,61,14,0,0
12,1,63033.0,0,226,1102,18,0,1
13,1,59354.0,2,226,310,21,0,1
14,0,17323.0,0,627,46,13,0,0
15,1,82800.0,0,582,1315,29,3,1
16,0,41850.0,2,552,96,17,0,0
17,0,37760.0,0,667,317,20,0,0
18,0,76995.0,1,458,1782,31,1,1
19,1,33812.0,1,603,133,14,0,0
20,0,37040.0,0,690,316,20,0,0
21,0,2447.0,1,539,1730,44,0,0
22,0,58607.0,1,553,972,25,1,1
23,0,65324.0,1,169,544,24,0,1
24,0,40689.0,1,468,444,28,0,0
25,1,18589.0,0,543,75,15,0,0
26,0,53359.0,2,398,257,21,0,1
27,1,51381.5,1,494,637,28,0,0
28,0,38360.0,1,394,131,12,0,0
29,0,84618.0,0,219,1672,28,1,1
30,1,10979.0,0,38,30,13,0,0
31,0,38620.0,0,414,318,14,0,0
32,0,40548.0,1,627,120,14,1,0
33,1,46610.0,2,608,302,23,1,0
34,0,68657.0,0,494,1196,25,0,1
35,1,49389.0,2,304,65,13,0,0
36,0,67353.0,1,180,913,30,0,1
37,0,23718.0,1,300,81,16,0,0
38,1,42429.0,1,138,67,12,0,0
39,1,48948.0,0,513,902,30,2,0
40,0,80011.0,1,426,1395,25,0,1
41,0,20559.0,1,474,53,15,0,0
42,0,21994.0,1,552,22,9,0,0
43,1,51381.5,0,236,186,11,0,0
44,0,7500.0,1,270,31,13,0,0
45,1,79941.0,0,1,984,17,0,1
46,0,7500.0,0,597,122,19,1,0
47,0,41728.0,1,401,55,15,0,0
48,1,51381.5,3,179,124,16,0,0
49,0,72550.0,2,598,1319,36,0,1
50,1,65486.0,1,48,507,19,0,1
51,0,79143.0,0,687,1693,32,0,1
52,1,35790.0,1,543,72,14,0,0
53,1,82582.0,0,22,1617,22,3,1
54,0,66373.0,2,382,606,26,0,1
55,0,82384.0,0,587,1957,28,2,1
56,1,70287.0,0,453,1093,24,1,1
57,1,27938.0,1,62,29,9,0,0
58,1,51381.5,1,377,46,13,0,0
59,0,55954.0,1,118,518,26,0,1
60,1,75777.0,0,360,1438,22,3,1
61,0,66653.0,2,660,612,25,0,1
62,1,61823.0,1,496,884,31,0,1
63,1,67680.0,1,383,606,24,0,1
64,0,70666.0,0,205,1076,20,0,1
65,0,25721.0,1,404,34,12,1,0
66,0,32474.0,2,49,11,11,0,0
67,1,88194.0,1,102,1274,37,3,1
68,0,69096.0,1,275,653,22,0,1
69,0,74854.0,3,447,1562,24,0,1
70,0,66991.0,0,656,1253,24,0,1
71,0,51381.5,1,653,109,17,0,0
72,0,65031.0,1,469,863,37,0,1
73,0,60631.0,2,450,661,31,1,1
74,0,28332.0,0,60,65,10,0,0
75,1,40246.0,1,557,13,10,0,0
76,0,75251.0,0,671,1890,24,1,1
77,1,75825.0,0,625,2209,26,2,1
78,0,26326.0,0,298,18,7,0,0
79,0,56046.0,0,543,692,29,2,1
80,1,29760.0,1,669,165,20,0,0
81,0,26304.0,1,371,16,11,0,0
82,0,23559.0,1,361,79,16,0,0
83,0,38620.0,0,414,318,14,0,0
84,1,81361.0,0,124,778,28,0,1
85,0,29440.0,2,322,56,14,0,0
86,0,36138.0,2,348,151,20,1,0
87,1,50388.0,1,32,372,24,3,0
88,0,79593.0,0,48,1366,21,1,1
89,0,54178.0,1,159,194,12,0,1
90,0,51381.5,3,587,603,38,0,0
91,1,51381.5,2,33,18,11,0,0
92,0,51381.5,0,218,985,16,0,0
93,1,42394.0,1,98,32,12,0,0
94,0,23626.0,1,36,43,15,0,0
95,0,30096.0,1,38,45,12,0,0
96,1,47916.0,1,584,606,28,1,0
97,1,51813.0,2,444,63,14,0,0
98,0,78497.0,0,210,978,27,1,1
99,0,50150.0,0,374,410,21,0,0
100,1,47823.0,1,341,72,15,0,0
101,1,34554.0,1,91,55,13,0,0
102,0,85693.0,1,435,1169,32,0,1
103,0,65846.0,0,408,1120,20,0,1
104,0,87195.0,0,52,1097,21,1,1
105,0,24594.0,1,201,29,10,0,0
106,0,49096.0,2,278,187,20,0,0
107,0,52413.0,2,512,910,32,0,0
108,1,38557.0,1,557,145,16,0,0
109,0,89058.0,0,569,850,16,0,1
110,0,77298.0,1,239,969,27,0,1
111,1,68126.0,0,596,1820,26,2,1
112,0,57288.0,1,4,608,26,1,1
113,1,86037.0,0,543,730,28,3,1
114,0,43974.0,1,564,551,28,0,0
115,1,50785.0,2,292,114,14,0,0
116,0,90765.0,0,156,1724,16,2,1
117,0,36550.0,1,495,577,29,0,0
118,0,30753.0,2,353,81,12,0,0
119,0,21918.0,1,227,33,13,0,0
120,0,56129.0,1,374,660,26,0,1
121,1,32557.0,1,125,80,14,1,0
122,0,19510.0,2,298,30,13,0,0
123,1,30992.0,1,433,43,12,0,0
124,1,101970.0,0,474,1135,29,4,1
125,0,71488.0,0,496,559,17,0,1
126,1,79607.0,0,434,1923,17,1,1
127,0,54348.0,2,21,90,14,0,1
128,0,51381.5,1,353,404,23,0,0
129,0,77376.0,2,50,661,27,0,1
130,0,62998.0,1,272,463,24,0,1
131,1,61331.0,2,476,632,31,0,1
132,0,73448.0,0,139,725,23,0,1
133,0,51381.5,1,322,725,23,0,0
134,0,41551.0,2,319,279,24,0,0
135,0,62981.0,0,469,1482,26,1,1
136,1,9548.0,1,690,29,14,0,0
137,0,33762.0,3,357,106,17,0,0
138,1,35860.0,2,41,49,11,2,0
139,1,36921.0,2,336,38,14,0,0
140,1,92859.0,0,618,2077,24,0,1
141,0,65104.0,1,227,1053,24,1,1
142,0,86111.0,0,436,1385,25,0,1
143,1,68352.0,1,305,871,31,0,1
144,0,41883.0,1,467,312,19,0,0
145,0,59809.0,2,619,877,23,0,1
146,0,23957.0,1,609,68,12,1,0
147,0,38547.0,1,305,22,12,0,0
148,0,35688.0,3,676,211,24,0,0
149,0,49605.0,0,8,127,11,0,0
150,0,59354.0,2,66,459,19,0,1
151,0,65747.0,1,114,460,25,1,1
152,0,46344.0,1,562,429,24,0,0
153,1,34176.0,1,48,89,17,0,0
154,0,61010.0,1,628,1021,31,0,1
155,0,69372.0,0,495,1381,25,3,1
156,1,49967.0,1,356,306,22,0,0
157,1,60199.0,3,290,18,8,0,1
158,0,55375.0,1,255,162,11,0,1
159,1,80317.0,0,313,1231,19,0,1
160,1,30523.0,3,363,13,11,0,0
